id,tvg-id,tvg-name,tvg-logo,group-title,title,address,hd
1,1,CCTV1,http://epg.51zmt.top:8000/tb1/CCTV/CCTV1.png,央视,CCTV-1综合,239.93.1.152:5140,1
2,2,CCTV2,http://epg.51zmt.top:8000/tb1/CCTV/CCTV2.png,央视,CCTV-2财经,239.93.1.23:6000,1
3,3,CCTV3,http://epg.51zmt.top:8000/tb1/CCTV/CCTV3.png,央视,CCTV-3综艺,239.93.1.11:2223,1
4,4,CCTV4,http://epg.51zmt.top:8000/tb1/CCTV/CCTV4.png,央视,CCTV-4中文国际,239.93.1.192:5140,1
5,5,CCTV5,http://epg.51zmt.top:8000/tb1/CCTV/CCTV5.png,央视,CCTV-5体育,239.93.1.12:2224,1
6,6,CCTV5+,http://epg.51zmt.top:8000/tb1/CCTV/CCTV5+.png,央视,CCTV-5+体育赛事,239.93.1.36:8004,1
7,7,CCTV6,http://epg.51zmt.top:8000/tb1/CCTV/CCTV6.png,央视,CCTV-6,239.93.1.155:2226,1
8,8,CCTV7,http://epg.51zmt.top:8000/tb1/CCTV/CCTV7.png,央视,CCTV-7,239.93.1.67:5140,1
9,9,CCTV8,http://epg.51zmt.top:8000/tb1/CCTV/CCTV8.png,央视,CCTV-8,239.93.1.162:2225,1
10,10,CCTV9,http://epg.51zmt.top:8000/tb1/CCTV/CCTV9.png,央视,CCTV-9,239.93.1.163:5140,1
11,11,CCTV10,http://epg.51zmt.top:8000/tb1/CCTV/CCTV10.png,央视,CCTV-10,239.93.1.28:5140,1
12,12,CCTV11,http://epg.51zmt.top:8000/tb1/CCTV/CCTV11.png,央视,CCTV-11,239.93.0.102:5140,1
13,13,CCTV12,http://epg.51zmt.top:8000/tb1/CCTV/CCTV12.png,央视,CCTV-12,239.93.1.30:8124,1
14,14,CCTV13,http://epg.51zmt.top:8000/tb1/CCTV/CCTV13.png,央视,CCTV-13,239.93.0.66:5140,0
15,15,CCTV14,http://epg.51zmt.top:8000/tb1/CCTV/CCTV14.png,央视,CCTV-14,239.93.1.29:6000,1
16,16,CCTV15,http://epg.51zmt.top:8000/tb1/CCTV/CCTV15.png,央视,CCTV-15,239.93.0.103:5140,1
17,17,CCTV17,http://epg.51zmt.top:8000/tb1/CCTV/CCTV17.png,央视,CCTV-17,239.93.0.92:5140,1
18,2064,CDTV1,http://epg.51zmt.top:8000/tb1/sheng/cdtv1.png,地方,成都新闻综合,239.93.1.210:2178,1
19,2065,CDTV2,http://epg.51zmt.top:8000/tb1/sheng/cdtv2.png,地方,成都经济资讯,239.93.0.17:1239,0
20,2066,CDTV3,http://epg.51zmt.top:8000/tb1/sheng/cdtv3.png,地方,成都都市生活,239.93.0.18:1238,0
21,2067,CDTV4,http://epg.51zmt.top:8000/tb1/sheng/cdtv4.png,地方,成都影视文艺,239.93.0.19:1250,0
22,2068,CDTV5,http://epg.51zmt.top:8000/tb1/sheng/cdtv5.png,地方,成都公共,239.93.1.231:5140,1
23,2069,CDTV6,http://epg.51zmt.top:8000/tb1/sheng/cdtv6.png,地方,成都少儿,239.93.0.21:1251,0
24,2070,CDTV7,http://epg.51zmt.top:8000/tb1/qt/cdtv_meishi.png,地方,成都美食天府,239.93.0.23:1253,0
25,2054,SCTV2,http://epg.51zmt.top:8000/tb1/sheng/sctv2.png,地方,四川文化旅游,239.93.1.101:5140,1
26,2055,SCTV3,http://epg.51zmt.top:8000/tb1/sheng/sctv3.png,地方,四川经济,239.93.1.102:5140,1
27,2056,SCTV4,http://epg.51zmt.top:8000/tb1/sheng/sctv4.png,地方,四川新闻,239.93.0.47:5140,1
28,2057,SCTV5,http://epg.51zmt.top:8000/tb1/sheng/sctv5.png,地方,四川影视文艺频道,239.93.0.166:5140,1
29,2060,峨嵋电影,http://epg.51zmt.top:8000/tb1/qt/SCTV8.png,地方,峨嵋电影频道,239.93.1.18:5140,1
30,2059,SCTV7,http://epg.51zmt.top:8000/tb1/sheng/sctv7.png,地方,四川妇女儿童频道,239.93.0.219:5140,1
31,2062,SCTV8,http://epg.51zmt.top:8000/tb1/sheng/sctv8.png,地方,四川科教频道,239.93.0.221:5140,0
32,2061,SCTV9,http://epg.51zmt.top:8000/tb1/sheng/sctv9.png,地方,四川公共频道,239.93.0.52:5140,1
33,27,湖南卫视,http://epg.51zmt.top:8000/tb1/ws/hunan.png,卫视,湖南卫视,239.93.1.156:5140,1
34,28,浙江卫视,http://epg.51zmt.top:8000/tb1/ws/zhejiang.png,卫视,浙江卫视,239.93.1.176:5140,1
35,29,江苏卫视,http://epg.51zmt.top:8000/tb1/ws/jiangsu.png,卫视,江苏卫视,239.93.1.175:5140,1
36,30,北京卫视,http://epg.51zmt.top:8000/tb1/ws/beijing.png,卫视,北京卫视,239.93.0.180:5140,1
37,31,东方卫视,http://epg.51zmt.top:8000/tb1/ws/dongfang.png,卫视,东方卫视,239.93.1.177:5140,1
38,32,安徽卫视,http://epg.51zmt.top:8000/tb1/ws/anhui.png,卫视,安徽卫视,239.93.1.106:5140,1
39,33,广东卫视,http://epg.51zmt.top:8000/tb1/ws/guangdong.png,卫视,广东卫视,239.93.0.181:5140,1
40,34,深圳卫视,http://epg.51zmt.top:8000/tb1/ws/shenzhen.png,卫视,深圳卫视,239.93.0.182:5140,1
41,36,辽宁卫视,http://epg.51zmt.top:8000/tb1/ws/liaoning.png,卫视,辽宁卫视,239.93.1.108:5140,1
42,37,旅游卫视,http://epg.51zmt.top:8000/tb1/ws/lvyou.png,卫视,海南卫视,239.93.0.80:5140,0
43,38,山东卫视,http://epg.51zmt.top:8000/tb1/ws/shandong.png,卫视,山东卫视,239.93.0.168:5140,1
44,39,天津卫视,http://epg.51zmt.top:8000/tb1/ws/tianjin.png,卫视,天津卫视,239.93.0.167:5140,1
45,40,重庆卫视,http://epg.51zmt.top:8000/tb1/ws/chongqing.png,卫视,重庆卫视,239.93.1.107:5140,1
46,41,东南卫视,http://epg.51zmt.top:8000/tb1/ws/dongnan.png,卫视,东南卫视,239.93.0.42:5140,1
47,42,甘肃卫视,http://epg.51zmt.top:8000/tb1/ws/gansu.png,卫视,甘肃卫视,239.93.0.191:5140,0
48,43,广西卫视,http://epg.51zmt.top:8000/tb1/ws/guangxi.png,卫视,广西卫视,239.93.0.24:5140,0
49,44,贵州卫视,http://epg.51zmt.top:8000/tb1/ws/guizhou.png,卫视,贵州卫视,239.93.0.131:5140,1
50,45,河北卫视,http://epg.51zmt.top:8000/tb1/ws/hebei.png,卫视,河北卫视,239.93.0.132:5140,1
51,46,黑龙江卫视,http://epg.51zmt.top:8000/tb1/ws/heilongjiang.png,卫视,黑龙江卫视,239.93.1.151:5140,1
52,47,河南卫视,http://epg.51zmt.top:8000/tb1/ws/henan.png,卫视,河南卫视,239.93.0.84:5140,0
53,48,湖北卫视,http://epg.51zmt.top:8000/tb1/ws/hubei.png,卫视,湖北卫视,239.93.0.250:5140,1
54,50,江西卫视,http://epg.51zmt.top:8000/tb1/ws/jiangxi.png,卫视,江西卫视,239.93.0.134:5140,1
55,51,吉林卫视,http://epg.51zmt.top:8000/tb1/ws/jilin.png,卫视,吉林卫视,239.93.0.86:5140,0
56,52,内蒙古卫视,http://epg.51zmt.top:8000/tb1/ws/neimeng.png,卫视,内蒙古卫视,239.93.0.8:5140,0
57,53,宁夏卫视,http://epg.51zmt.top:8000/tb1/ws/ningxia.png,卫视,宁夏卫视,239.93.0.247:5140,0
58,54,山西卫视,http://epg.51zmt.top:8000/tb1/ws/shanxi_.png,卫视,山西卫视,239.93.0.6:5140,0
59,55,陕西卫视,http://epg.51zmt.top:8000/tb1/ws/shanxi.png,卫视,陕西卫视,239.93.0.176:5140,0
60,56,四川卫视,http://epg.51zmt.top:8000/tb1/ws/sichuan.png,卫视,四川卫视,239.93.0.169:5140,1
61,57,新疆卫视,http://epg.51zmt.top:8000/tb1/ws/xinjiang.png,卫视,新疆卫视,239.93.0.194:5140,0
62,58,云南卫视,http://epg.51zmt.top:8000/tb1/ws/yunnan.png,卫视,云南卫视,239.93.0.174:5140,0
63,59,青海卫视,http://epg.51zmt.top:8000/tb1/ws/qinghai.png,卫视,青海卫视,239.93.0.192:5140,0
64,70,康巴卫视,http://epg.51zmt.top:8000/tb1/ws/kangba.png,卫视,康巴卫视,239.93.0.41:5140,1
65,71,西藏卫视,http://epg.51zmt.top:8000/tb1/ws/xizang.png,卫视,西藏卫视,239.93.0.175:5140,0
66,141,凤凰中文,http://epg.51zmt.top:8000/tb1/gt/fenghuangzhongwen.png,卫视,凤凰卫视中文台,239.93.0.162:2192,1
67,142,凤凰资讯,http://epg.51zmt.top:8000/tb1/gt/fenghuangzixun.png,卫视,凤凰卫视资讯台,239.93.0.118:2191,1
68,,,,其它,熊猫体娱,239.93.0.94:5140,1
69,,,,其它,熊猫卡通,239.93.1.172:5140,1
70,,,,其它,熊猫少儿,239.93.1.189:5140,1
71,,,,其它,熊猫影院,239.93.0.214:5140,1
72,,,,其它,熊猫新闻,239.93.1.112:5140,1
73,,,,其它,熊猫爱生活,239.93.1.190:5140,1
74,,,,其它,熊猫频道,239.93.0.211:9148,1
75,,,,其它,花儿高清电影,239.93.0.224:1281,1
76,,,,其它,百视通体育,239.93.1.184:5140,1
77,,,,其它,爱上4K(超高清),239.93.1.113:5140,2
78,73,中国教育1台,http://epg.51zmt.top:8000/tb1/qt/中国教育1台.png,其它,中国教育-1,239.93.1.111:5140,1
